TABLE D-3b. RISK-BASED ACTION LEVELS FOR TAPWATER,,,,,,
(ug/l),,,,,,
,,,,,,
CHEMICAL PARAMETER,"Lowest
Tapwater Goal
(ug/L",Basis,Carcinogenic Effects,"Mutagenic
Effects",Noncancer Effects,
ACENAPHTHENE,3.5E+02,noncarcinogenic effects,,,3.5E+02,
ACENAPHTHYLENE,2.4E+02,noncarcinogenic effects,,,2.4E+02,
ACETONE,1.4E+04,noncarcinogenic effects,,,1.4E+04,
ALDRIN,5.1E-03,carcinogenic effects,5.1E-03,,5.9E-01,
AMETRYN,1.8E+02,noncarcinogenic effects,,,1.8E+02,
"AMINO,2- DINITROTOLUENE,4,6-",4.0E+01,noncarcinogenic effects,,,4.0E+01,
"AMINO,4- DINITROTOLUENE,2,6-",4.0E+01,noncarcinogenic effects,,,4.0E+01,
ANTHRACENE,1.8E+03,noncarcinogenic effects,,,1.8E+03,
ANTIMONY,8.0E+00,noncarcinogenic effects,,,8.0E+00,
ARSENIC,5.2E-02,carcinogenic effects,5.2E-02,,6.0E+00,
ATRAZINE,3.4E-01,carcinogenic effects,3.4E-01,,7.0E+02,
BARIUM,4.0E+03,noncarcinogenic effects,,,4.0E+03,
BENOMYL,1.0E+03,noncarcinogenic effects,,,1.0E+03,
BENZENE,4.8E-01,carcinogenic effects,4.8E-01,,3.5E+01,
BENZO(a)ANTHRACENE,1.1E-02,mutagenic effects,3.5E-02,1.1E-02,,
BENZO(a)PYRENE,2.9E-03,mutagenic effects,1.1E-02,2.9E-03,,
BENZO(b)FLUORANTHENE,2.9E-02,mutagenic effects,1.1E-01,2.9E-02,,
"BENZO(g,h,i)PERYLENE",8.0E+02,noncarcinogenic effects,,,8.0E+02,
BENZO(k)FLUORANTHENE,2.9E-01,mutagenic effects,1.1E+00,2.9E-01,,
BERYLLIUM,4.0E+01,noncarcinogenic effects,,,4.0E+01,
"BIPHENYL, 1,1-",8.3E-01,noncarcinogenic effects,2.2E+00,,8.3E-01,
BIS(2-CHLOROETHYL)ETHER,1.4E-02,carcinogenic effects,1.4E-02,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,carcinogenic effects,3.7E-01,,2.1E+02,
BIS(2-ETHYLHEXYL)PHTHALATE,5.6E+00,carcinogenic effects,5.6E+00,,4.0E+02,
BORON,4.0E+03,noncarcinogenic effects,,,4.0E+03,
BROMODICHLOROMETHANE,1.4E-01,carcinogenic effects,1.4E-01,,1.2E+02,
BROMOFORM,3.4E+00,carcinogenic effects,3.4E+00,,4.0E+02,
BROMOMETHANE,7.6E+00,noncarcinogenic effects,,,7.6E+00,
CADMIUM,2.0E+01,noncarcinogenic effects,,,2.0E+01,
CARBON TETRACHLORIDE,5.1E-01,carcinogenic effects,5.1E-01,,5.8E+01,
CHLORDANE (TECHNICAL),4.5E-02,carcinogenic effects,4.5E-02,,1.3E+00,
"CHLOROANILINE, p-",3.9E-01,carcinogenic effects,3.9E-01,,8.0E+01,
CHLOROBENZENE,8.3E+01,noncarcinogenic effects,,,8.3E+01,
CHLOROETHANE,2.1E+04,noncarcinogenic effects,,,2.1E+04,
CHLOROFORM,2.2E-01,carcinogenic effects,2.2E-01,,1.0E+02,
CHLOROMETHANE,1.9E+02,noncarcinogenic effects,,,1.9E+02,
"CHLOROPHENOL, 2-",2.9E+01,noncarcinogenic effects,,,2.9E+01,
CHROMIUM (Total),,not applicable,,,,
CHROMIUM III,3.0E+04,noncarcinogenic effects,,,3.0E+04,
CHROMIUM VI,4.3E+00,mutagenic effects,1.6E+01,4.3E+00,6.0E+01,
CHRYSENE,2.9E+00,mutagenic effects,1.1E+01,2.9E+00,,
COBALT,6.0E+00,noncarcinogenic effects,,,6.0E+00,
COPPER,8.0E+02,noncarcinogenic effects,,,8.0E+02,
CYANIDE (Free),1.5E+00,noncarcinogenic effects,,,1.5E+00,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.1E-01,carcinogenic effects,7.1E-01,,6.0E+01,
DALAPON,6.0E+02,noncarcinogenic effects,,,6.0E+02,
"DIBENZO(a,h)ANTHTRACENE",2.9E-03,mutagenic effects,1.1E-02,2.9E-03,,
"DIBROMO,1,2- CHLOROPROPANE,3-",3.3E-04,mutagenic effects,9.3E-04,3.3E-04,3.8E-01,
DIBROMOCHLOROMETHANE,2.1E-01,carcinogenic effects,2.1E-01,,1.2E+02,
"DIBROMOETHANE, 1,2-",7.5E-03,carcinogenic effects,7.5E-03,,1.7E+01,
"DICHLOROBENZENE, 1,2-",3.4E+02,noncarcinogenic effects,,,3.4E+02,
"DICHLOROBENZENE, 1,3-",1.8E+02,noncarcinogenic effects,,,1.8E+02,
"DICHLOROBENZENE, 1,4-",4.9E-01,carcinogenic effects,4.9E-01,,7.6E+02,
"DICHLOROBENZIDINE, 3,3-",1.7E-01,carcinogenic effects,1.7E-01,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),3.2E-01,carcinogenic effects,3.2E-01,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.6E-02,carcinogenic effects,4.6E-02,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),2.3E-01,carcinogenic effects,2.3E-01,,1.0E+01,
"DICHLOROETHANE, 1,1-",2.8E+00,carcinogenic effects,2.8E+00,,1.2E+03,
"DICHLOROETHANE, 1,2-",1.7E-01,carcinogenic effects,1.7E-01,,1.3E+01,
"DICHLOROETHYLENE, 1,1-",2.9E+02,noncarcinogenic effects,,,2.9E+02,
"DICHLOROETHYLENE, Cis 1,2-",1.2E+01,noncarcinogenic effects,,,1.2E+01,
"DICHLOROETHYLENE, Trans 1,2-",1.2E+02,noncarcinogenic effects,,,1.2E+02,
"DICHLOROPHENOL, 2,4-",6.0E+01,noncarcinogenic effects,,,6.0E+01,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",2.0E+02,noncarcinogenic effects,,,2.0E+02,
"DICHLOROPROPANE, 1,2-",4.5E-01,carcinogenic effects,4.5E-01,,8.3E+00,
"DICHLOROPROPENE, 1,3-",5.0E-01,carcinogenic effects,5.0E-01,,3.9E+01,
DIELDRIN,1.1E-02,carcinogenic effects,1.1E-02,,1.6E+00,
DIETHYLPHTHALATE,1.6E+04,noncarcinogenic effects,,,1.6E+04,
"DIMETHYLPHENOL, 2,4-",4.0E+02,noncarcinogenic effects,,,4.0E+02,
DIMETHYLPHTHALATE,2.0E+05,noncarcinogenic effects,,,2.0E+05,
"DINITROBENZENE, 1,3-",2.0E+00,noncarcinogenic effects,,,2.0E+00,
"DINITROPHENOL, 2,4-",4.0E+01,noncarcinogenic effects,,,4.0E+01,
"DINITROTOLUENE, 2,4- (2,4-DNT)",2.5E-01,carcinogenic effects,2.5E-01,,4.0E+01,
"DINITROTOLUENE, 2,6- (2,6-DNT)",5.2E-02,carcinogenic effects,5.2E-02,,6.0E+00,
"DIOXANE, 1,4-",4.6E-01,carcinogenic effects,4.6E-01,,5.7E+01,
DIOXINS (TEQ),1.2E-07,carcinogenic effects,1.2E-07,,1.9E-05,
DIURON,4.0E+01,noncarcinogenic effects,,,4.0E+01,
ENDOSULFAN,1.2E+02,noncarcinogenic effects,,,1.2E+02,
ENDRIN,6.0E+00,noncarcinogenic effects,,,6.0E+00,
ETHANOL,,,,,,
ETHYLBENZENE,1.7E+00,carcinogenic effects,1.7E+00,,1.0E+03,
FLUORANTHENE,8.0E+02,noncarcinogenic effects,,,8.0E+02,
FLUORENE,2.4E+02,noncarcinogenic effects,,,2.4E+02,
GLYPHOSATE,2.0E+03,noncarcinogenic effects,,,2.0E+03,
HEPTACHLOR,3.5E-03,carcinogenic effects,3.5E-03,,1.0E+01,
HEPTACHLOR EPOXIDE,1.7E-03,carcinogenic effects,1.7E-03,,2.6E-01,
HEXACHLOROBENZENE,9.8E-03,carcinogenic effects,9.8E-03,,1.6E+01,
HEXACHLOROBUTADIENE,2.0E-01,carcinogenic effects,2.0E-01,,2.0E+01,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,7.1E-02,carcinogenic effects,7.1E-02,,6.0E+00,
HEXACHLOROETHANE,4.0E-01,carcinogenic effects,4.0E-01,,1.1E+01,
HEXAZINONE,6.6E+02,noncarcinogenic effects,,,6.6E+02,
"INDENO(1,2,3-cd)PYRENE",2.9E-02,mutagenic effects,1.1E-01,2.9E-02,,
ISOPHORONE,8.2E+01,carcinogenic effects,8.2E+01,,4.0E+03,
LEAD,,,,,,
MERCURY,6.0E+00,noncarcinogenic effects,,,6.0E+00,
METHOXYCHLOR,1.0E+02,noncarcinogenic effects,,,1.0E+02,
METHYL ETHYL KETONE,5.6E+03,noncarcinogenic effects,,,5.6E+03,
METHYL ISOBUTYL KETONE,6.3E+03,noncarcinogenic effects,,,6.3E+03,
METHYL MERCURY,2.0E+00,noncarcinogenic effects,,,2.0E+00,
METHYL TERT BUTYL ETHER,1.4E+01,carcinogenic effects,1.4E+01,,6.3E+03,
METHYLENE CHLORIDE,1.0E+01,mutagenic effects,3.6E+01,1.0E+01,1.1E+02,
"METHYLNAPHTHALENE, 1-",6.0E+00,carcinogenic effects,6.0E+00,,4.1E+02,
"METHYLNAPHTHALENE, 2-",2.4E+01,noncarcinogenic effects,,,2.4E+01,
MOLYBDENUM,1.0E+02,noncarcinogenic effects,,,1.0E+02,
NAPHTHALENE,1.7E-01,carcinogenic effects,1.7E-01,,6.2E+00,
NICKEL,4.0E+02,noncarcinogenic effects,,,4.0E+02,
NITROBENZENE,1.4E-01,carcinogenic effects,1.4E-01,,1.3E+01,
NITROGLYCERIN,2.0E+00,noncarcinogenic effects,4.6E+00,,2.0E+00,
"NITROTOLUENE, 2-",7.9E-02,carcinogenic effects,7.9E-02,,5.3E+00,
"NITROTOLUENE, 3-",2.0E+00,noncarcinogenic effects,,,2.0E+00,
"NITROTOLUENE, 4-",4.9E+00,carcinogenic effects,4.9E+00,,8.0E+01,
PENTACHLOROPHENOL,1.9E-01,carcinogenic effects,1.9E-01,,1.0E+02,
PENTAERYTHRITOLTETRANITRATE (PETN),1.9E+01,carcinogenic effects,1.9E+01,,4.0E+01,
PERCHLORATE,1.4E+01,noncarcinogenic effects,,,1.4E+01,
PHENANTHRENE,2.4E+02,noncarcinogenic effects,,,2.4E+02,
PHENOL,6.0E+03,noncarcinogenic effects,,,6.0E+03,
POLYCHLORINATED BIPHENYLS (PCBs),7.9E-03,carcinogenic effects,7.9E-03,,4.0E-01,
PROPICONAZOLE,2.6E+02,noncarcinogenic effects,,,2.6E+02,
PYRENE,1.8E+02,noncarcinogenic effects,,,1.8E+02,
SELENIUM,1.0E+02,noncarcinogenic effects,,,1.0E+02,
SILVER,1.0E+02,noncarcinogenic effects,,,1.0E+02,
SIMAZINE,6.5E-01,carcinogenic effects,6.5E-01,,1.0E+02,
STYRENE,1.4E+03,noncarcinogenic effects,,,1.4E+03,
TERBACIL,2.6E+02,noncarcinogenic effects,,,2.6E+02,
tert-BUTYL ALCOHOL,5.8E+00,carcinogenic effects,5.8E+00,,,
"TETRACHLOROETHANE, 1,1,1,2-",6.1E-01,carcinogenic effects,6.1E-01,,1.8E+02,
"TETRACHLOROETHANE, 1,1,2,2-",7.8E-02,carcinogenic effects,7.8E-02,,4.0E+02,
TETRACHLOROETHYLENE,7.4E-01,carcinogenic effects,7.4E-01,,4.9E+01,
"TETRACHLOROPHENOL, 2,3,4,6-",6.0E+02,noncarcinogenic effects,,,6.0E+02,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",1.0E+03,noncarcinogenic effects,,,1.0E+03,
THALLIUM,2.0E-01,noncarcinogenic effects,,,2.0E-01,
TOLUENE,1.4E+03,noncarcinogenic effects,,,1.4E+03,
TOXAPHENE,7.1E-02,carcinogenic effects,7.1E-02,,,
TPH (gasolines),3.0E+02,noncarcinogenic effects,,,3.0E+02,
TPH (middle distillates),1.6E+02,noncarcinogenic effects,,,1.6E+02,
TPH (residual fuels),2.4E+03,noncarcinogenic effects,,,2.4E+03,
"TRICHLOROBENZENE, 1,2,4-",6.0E-01,carcinogenic effects,6.0E-01,,4.1E+00,
"TRICHLOROETHANE, 1,1,1-",8.3E+03,noncarcinogenic effects,,,8.3E+03,
"TRICHLOROETHANE, 1,1,2-",2.8E-01,carcinogenic effects,2.8E-01,,4.1E-01,
TRICHLOROETHYLENE,2.4E-01,mutagenic effects,7.6E-01,2.4E-01,2.9E+00,
"TRICHLOROPHENOL, 2,4,5-",2.0E+03,noncarcinogenic effects,,,2.0E+03,
"TRICHLOROPHENOL, 2,4,6-",7.1E+00,carcinogenic effects,7.1E+00,,2.0E+01,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",2.0E+02,noncarcinogenic effects,,,2.0E+02,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",1.6E+02,noncarcinogenic effects,,,1.6E+02,
"TRICHLOR+A38OPROPANE, 1,2,3-",2.0E-04,mutagenic effects,5.8E-04,2.0E-04,6.2E-01,
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,noncarcinogenic effects,,,6.2E-01,
TRIFLURALIN,1.0E+01,carcinogenic effects,1.0E+01,,1.5E+02,
"TRINITROBENZENE, 1,3,5-",6.0E+02,noncarcinogenic effects,,,6.0E+02,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,noncarcinogenic effects,,,4.0E+01,
"TRINITROTOLUENE, 2,4,6- (TNT)",2.6E+00,carcinogenic effects,2.6E+00,,1.0E+01,
VANADIUM,1.0E+02,noncarcinogenic effects,,,1.0E+02,
VINYL CHLORIDE,2.0E-02,carcinogenic effects,2.0E-02,2.8E-02,4.7E+01,
XYLENES,2.0E+02,noncarcinogenic effects,,,2.0E+02,
ZINC,6.0E+03,noncarcinogenic effects,,,6.0E+03,
References:,,,,,,
Calculated using Tap Water equations in USEPA Regional Screening Levels guidance (USEPA 2011a).,,,,,,
,,,,,,
Notes:,,,,,,
Addresses use of water for drinking water and inhalation of volatile chemicals during showering.,,,,,,
Target risk = 10-6.  Target HQ = 1.0.  See Appendix 2 for equations.,,,,,,
TPH (gasolines) action level rounded from 95 ug/L to 100 ug/L.,,,,,,
,,,,,,
