,"TABLE C-1a. GROUNDWATER ACTION LEVELS 
FOR EVALUATION OF POTENTIAL VAPOR INTRUSION HAZARDS
(volatile chemicals only)",,,,,,,
,,,,,,,,
For,,Physical,,"1,3Unrestricted
Land Use","Commercial/
Industrial
Land Use Only",,,
VLOOKUP,CHEMICAL PARAMETER,State,,(ug/L),(ug/L),,,
ACENAPHTHENE,#ACENAPHTHENE,V,S,3.9E+03,3.9E+03,,,
ACENAPHTHYLENE,ACENAPHTHYLENE,V,S,(Use soil gas),(Use soil gas),,,
ACETONE,#ACETONE,V,L,6.2E+08,1.0E+09,,,
ALDRIN,ALDRIN,SV,S,,,,,
AMETRYN,AMETRYN,NV,S,,,,,
"AMINO,2- DINITROTOLUENE,4,6-","AMINO,2- DINITROTOLUENE,4,6-",NV,S,,,,,
"AMINO,4- DINITROTOLUENE,2,6-","AMINO,4- DINITROTOLUENE,2,6-",NV,S,,,,,
ANTHRACENE,#ANTHRACENE,V,S,4.3E+01,4.3E+01,,,
ANTIMONY,ANTIMONY,NV,S,,,,,
ARSENIC,ARSENIC,NV,S,,,,,
ATRAZINE,ATRAZINE,NV,S,,,,,
BARIUM,BARIUM,NV,S,,,,,
BENOMYL,BENOMYL,NV,S,,,,,
BENZENE,#BENZENE,V,L,2.3E+03,2.0E+04,,,
BENZO(a)ANTHRACENE,BENZO(a)ANTHRACENE,SV,S,,,,,
BENZO(a)PYRENE,BENZO(a)PYRENE,NV,S,,,,,
BENZO(b)FLUORANTHENE,BENZO(b)FLUORANTHENE,NV,S,,,,,
"BENZO(g,h,i)PERYLENE","BENZO(g,h,i)PERYLENE",NV,S,,,,,
BENZO(k)FLUORANTHENE,BENZO(k)FLUORANTHENE,NV,S,,,,,
BERYLLIUM,BERYLLIUM,NV,S,,,,,
"BIPHENYL, 1,1-","BIPHENYL, 1,1-",V,S,(Use soil gas),(Use soil gas),,,
BIS(2-CHLOROETHYL)ETHER,BIS(2-CHLOROETHYL)ETHER,V,L,1.8E+02,1.5E+03,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,BIS(2-CHLORO-1-METHYLETHYL)ETHER,V,L,(Use soil gas),(Use soil gas),,,
BIS(2-ETHYLHEXYL)PHTHALATE,BIS(2-ETHYLHEXYL)PHTHALATE,NV,S,,,,,
BORON,BORON,NV,S,,,,,
BROMODICHLOROMETHANE,BROMODICHLOROMETHANE,V,L,1.1E+02,1.0E+03,,,
BROMOFORM,BROMOFORM,SV,S,,,,,
BROMOMETHANE,BROMOMETHANE,V,G,4.1E+02,3.4E+03,,,
CADMIUM,CADMIUM,NV,S,,,,,
CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,V,L,1.1E+02,9.6E+02,,,
CHLORDANE (TECHNICAL),CHLORDANE (TECHNICAL),SV,S,,,,,
"CHLOROANILINE, p-","CHLOROANILINE, p-",NV,S,,,,,
CHLOROBENZENE,CHLOROBENZENE,V,L,1.2E+04,1.0E+05,,,
CHLOROETHANE,CHLOROETHANE,V,G,6.0E+05,5.1E+06,,,
CHLOROFORM,CHLOROFORM,V,L,1.1E+02,9.5E+02,,,
CHLOROMETHANE,CHLOROMETHANE,V,G,5.2E+03,4.4E+04,,,
"CHLOROPHENOL, 2-","CHLOROPHENOL, 2-",V,L,1.0E+05,8.4E+05,,,
CHROMIUM (Total),CHROMIUM (Total),NV,S,,,,,
CHROMIUM III,CHROMIUM III,NV,S,,,,,
CHROMIUM VI,CHROMIUM VI,NV,S,,,,,
CHRYSENE,CHRYSENE,NV,S,,,,,
COBALT,COBALT,NV,S,,,,,
COPPER,COPPER,NV,S,,,,,
CYANIDE (Free),CYANIDE (Free),V,S,(Use soil gas),(Use soil gas),,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)","CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",NV,S,,,,,
DALAPON,DALAPON,NV,L,,,,,
"DIBENZO(a,h)ANTHTRACENE","DIBENZO(a,h)ANTHTRACENE",NV,S,,,,,
"DIBROMO,1,2- CHLOROPROPANE,3-","DIBROMO,1,2- CHLOROPROPANE,3-",V,L,(Use soil gas),(Use soil gas),,,
DIBROMOCHLOROMETHANE,DIBROMOCHLOROMETHANE,V,S,4.5E+02,3.9E+03,,,
"DIBROMOETHANE, 1,2-","DIBROMOETHANE, 1,2-",V,S,1.9E+01,1.6E+02,,,
"DICHLOROBENZENE, 1,2-","DICHLOROBENZENE, 1,2-",V,L,8.3E+04,1.6E+05,,,
"DICHLOROBENZENE, 1,3-","DICHLOROBENZENE, 1,3-",V,L,(Use soil gas),(Use soil gas),,,
"DICHLOROBENZENE, 1,4-","DICHLOROBENZENE, 1,4-",V,S,4.5E+02,3.9E+03,,,
"DICHLOROBENZIDINE, 3,3-","DICHLOROBENZIDINE, 3,3-",NV,S,,,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),DICHLORODIPHENYLDICHLOROETHANE (DDD),NV,S,,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),DICHLORODIPHENYLDICHLOROETHYLENE (DDE),SV,S,,,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),DICHLORODIPHENYLTRICHLOROETHANE (DDT),NV,S,,,,,
"DICHLOROETHANE, 1,1-","DICHLOROETHANE, 1,1-",V,L,1.1E+03,9.6E+03,,,
"DICHLOROETHANE, 1,2-","DICHLOROETHANE, 1,2-",V,L,1.8E+02,1.6E+03,,,
"DICHLOROETHYLENE, 1,1-","DICHLOROETHYLENE, 1,1-",V,L,6.6E+03,5.6E+04,,,
"DICHLOROETHYLENE, Cis 1,2-","DICHLOROETHYLENE, Cis 1,2-",V,L,1.3E+03,1.1E+04,,,
"DICHLOROETHYLENE, Trans 1,2-","DICHLOROETHYLENE, Trans 1,2-",V,L,6.6E+03,5.5E+04,,,
"DICHLOROPHENOL, 2,4-","DICHLOROPHENOL, 2,4-",NV,S,,,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)","DICHLOROPHENOXYACETIC ACID (2,4-D)",NV,S,,,,,
"DICHLOROPROPANE, 1,2-","DICHLOROPROPANE, 1,2-",V,L,3.4E+02,2.9E+03,,,
"DICHLOROPROPENE, 1,3-","DICHLOROPROPENE, 1,3-",V,L,6.7E+02,5.9E+03,,,
DIELDRIN,DIELDRIN,NV,S,,,,,
DIETHYLPHTHALATE,DIETHYLPHTHALATE,NV,S,,,,,
"DIMETHYLPHENOL, 2,4-","#DIMETHYLPHENOL, 2,4-",NV,S,,,,,
DIMETHYLPHTHALATE,DIMETHYLPHTHALATE,NV,S,,,,,
"DINITROBENZENE, 1,3-","DINITROBENZENE, 1,3-",NV,S,,,,,
"DINITROPHENOL, 2,4-","DINITROPHENOL, 2,4-",NV,S,,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)","DINITROTOLUENE, 2,4- (2,4-DNT)",NV,S,,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)","DINITROTOLUENE, 2,6- (2,6-DNT)",NV,S,,,,,
"DIOXANE, 1,4-","DIOXANE, 1,4-",V,L,(Use soil gas),(Use soil gas),,,
DIOXINS (TEQ),DIOXINS (TEQ),SV,S,,,,,
DIURON,DIURON,NV,S,,,,,
ENDOSULFAN,ENDOSULFAN,SV,S,,,,,
ENDRIN,ENDRIN,NV,S,,,,,
ETHANOL,ETHANOL,V,L,(Use soil gas),(Use soil gas),,,
ETHYLBENZENE,#ETHYLBENZENE,V,L,7.6E+04,1.7E+05,,,
FLUORANTHENE,FLUORANTHENE,NV,S,,,,,
FLUORENE,#FLUORENE,V,S,1.7E+03,1.7E+03,,,
GLYPHOSATE,GLYPHOSATE,NV,S,,,,,
HEPTACHLOR,HEPTACHLOR,SV,S,,,,,
HEPTACHLOR EPOXIDE,HEPTACHLOR EPOXIDE,SV,S,,,,,
HEXACHLOROBENZENE,HEXACHLOROBENZENE,SV,S,,,,,
HEXACHLOROBUTADIENE,HEXACHLOROBUTADIENE,SV,S,,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,HEXACHLOROCYCLOHEXANE (gamma) LINDANE,NV,S,,,,,
HEXACHLOROETHANE,HEXACHLOROETHANE,SV,S,,,,,
HEXAZINONE,HEXAZINONE,NV,S,,,,,
"INDENO(1,2,3-cd)PYRENE","INDENO(1,2,3-cd)PYRENE",NV,S,,,,,
ISOPHORONE,ISOPHORONE,NV,L,,,,,
LEAD,LEAD,NV,S,,,,,
MERCURY,MERCURY,NV,S,,,,,
METHOXYCHLOR,METHOXYCHLOR,NV,S,,,,,
METHYL ETHYL KETONE,#METHYL ETHYL KETONE,V,L,2.2E+08,2.2E+08,,,
METHYL ISOBUTYL KETONE,#METHYL ISOBUTYL KETONE,V,L,1.9E+07,1.9E+07,,,
METHYL MERCURY,METHYL MERCURY,NV,S,,,,,
METHYL TERT BUTYL ETHER,METHYL TERT BUTYL ETHER,V,L,3.1E+04,2.7E+05,,,
METHYLENE CHLORIDE,METHYLENE CHLORIDE,V,L,7.6E+04,7.9E+05,,,
"METHYLNAPHTHALENE, 1-","#METHYLNAPHTHALENE, 1-",V,S,2.6E+04,2.6E+04,,,
"METHYLNAPHTHALENE, 2-","#METHYLNAPHTHALENE, 2-",V,S,2.5E+04,2.5E+04,,,
MOLYBDENUM,MOLYBDENUM,NV,S,,,,,
NAPHTHALENE,#NAPHTHALENE,V,S,2.9E+04,3.1E+04,,,
NICKEL,NICKEL,NV,S,,,,,
NITROBENZENE,NITROBENZENE,V,L,(Use soil gas),(Use soil gas),,,
NITROGLYCERIN,NITROGLYCERIN,NV,L,,,,,
"NITROTOLUENE, 2-","NITROTOLUENE, 2-",V,S,(Use soil gas),(Use soil gas),,,
"NITROTOLUENE, 3-","NITROTOLUENE, 3-",NV,S,,,,,
"NITROTOLUENE, 4-","NITROTOLUENE, 4-",NV,S,,,,,
PENTACHLOROPHENOL,PENTACHLOROPHENOL,NV,S,,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),PENTAERYTHRITOLTETRANITRATE (PETN),NV,S,,,,,
PERCHLORATE,PERCHLORATE,NV,S,,,,,
PHENANTHRENE,PHENANTHRENE,V,S,(Use soil gas),(Use soil gas),,,
PHENOL,PHENOL,NV,S,,,,,
POLYCHLORINATED BIPHENYLS (PCBs),POLYCHLORINATED BIPHENYLS (PCBs),SV,S,,,,,
PROPICONAZOLE,PROPICONAZOLE,NV,L,,,,,
PYRENE,#PYRENE,V,S,1.4E+02,1.4E+02,,,
SELENIUM,SELENIUM,NV,S,,,,,
SILVER,SILVER,NV,S,,,,,
SIMAZINE,SIMAZINE,NV,S,,,,,
STYRENE,#STYRENE,V,L,3.1E+05,3.1E+05,,,
TERBACIL,TERBACIL,NV,S,,,,,
tert-BUTYL ALCOHOL,tert-BUTYL ALCOHOL,V,L,(Use soil gas),(Use soil gas),,,
"TETRACHLOROETHANE, 1,1,1,2-","TETRACHLOROETHANE, 1,1,1,2-",V,L,(Use soil gas),(Use soil gas),,,
"TETRACHLOROETHANE, 1,1,2,2-","TETRACHLOROETHANE, 1,1,2,2-",V,L,2.4E+02,2.1E+03,,,
TETRACHLOROETHYLENE,TETRACHLOROETHYLENE,V,L,1.9E+02,1.7E+03,,,
"TETRACHLOROPHENOL, 2,3,4,6-","TETRACHLOROPHENOL, 2,3,4,6-",NV,S,,,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)","TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",NV,S,,,,,
THALLIUM,THALLIUM,NV,S,,,,,
TOLUENE,#TOLUENE,V,L,5.3E+05,5.3E+05,,,
TOXAPHENE,TOXAPHENE,NV,S,,,,,
TPH (gasolines),TPH (gasolines),V,L,(Use soil gas),(Use soil gas),,,
TPH (middle distillates),TPH (middle distillates),V,L,(Use soil gas),(Use soil gas),,,
TPH (residual fuels),TPH (residual fuels),NV,L,,,,,
"TRICHLOROBENZENE, 1,2,4-","TRICHLOROBENZENE, 1,2,4-",V,S,1.2E+03,1.0E+04,,,
"TRICHLOROETHANE, 1,1,1-","TRICHLOROETHANE, 1,1,1-",V,L,3.4E+05,1.3E+06,,,
"TRICHLOROETHANE, 1,1,2-","TRICHLOROETHANE, 1,1,2-",V,L,1.1E+02,9.0E+02,,,
TRICHLOROETHYLENE,TRICHLOROETHYLENE,V,L,2.1E+02,1.8E+03,,,
"TRICHLOROPHENOL, 2,4,5-","TRICHLOROPHENOL, 2,4,5-",NV,S,,,,,
"TRICHLOROPHENOL, 2,4,6-","TRICHLOROPHENOL, 2,4,6-",NV,S,,,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)","TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",NV,S,,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)","TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",NV,S,,,,,
"TRICHLOROPROPANE, 1,2,3-","TRICHLOROPROPANE, 1,2,3-",V,L,(Use soil gas),(Use soil gas),,,
"TRICHLOROPROPENE, 1,2,3-","TRICHLOROPROPENE, 1,2,3-",V,L,(Use soil gas),(Use soil gas),,,
TRIFLURALIN,TRIFLURALIN,SV,S,,,,,
"TRINITROBENZENE, 1,3,5-","TRINITROBENZENE, 1,3,5-",NV,S,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)","TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",NV,S,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)","TRINITROTOLUENE, 2,4,6- (TNT)",NV,S,,,,,
VANADIUM,VANADIUM,NV,S,,,,,
VINYL CHLORIDE,VINYL CHLORIDE,V,G,1.8E+01,6.1E+02,,,
XYLENES,#XYLENES,V,L,1.1E+05,1.1E+05,,,
ZINC,ZINC,NV,S,,,,,
,Notes:,,,,,,,
,"1. Based on unrestricted current or future land use.  Considered adequate for residential housing, schools, medical facilities, day-care centers and other sensitive uses.",,,,,,,
,"2. Soil model: One meter dry sandy soil (92% sand, 5% silt, 3% clay) over one meter moist clayey loam (33% sand, 34% silt,",,,,,,,
,    33% clay).  Used to reflect general field calibration of groundwater data to soil gas data.,,,,,,,
,"3. For inclusion in Tier 1 action levels, all groundwater assumed to potentially migrate under a residential area.  Action",,,,,,,
,    levels for protection of indoor air under a residential exposure scenario carried forward for use at both residential and,,,,,,,
,   commercial/industrial sites (see Table D series).,,,,,,,
,,,,,,,,
,Action levels calculated using spreadsheet provided with User's Guide for the USEPA vapor intrusion guidance (USEPA 2004),,,,,,,
,Assumed vadose-zone thickness/depth to groundwater three meters.  See Appendix 1 text for model details.,,,,,,,
,"Physical state of chemical at ambient conditions (V - volatile, NV - nonvolatile, S -solid, L - liquid, G - gas).",,,,,,,
,"Chemical considered to be ""volatile"" if Henry's number (atm m3/mole) >0.00001 and molecular weight <200.",,,,,,,
,"Dibromochloromethane, dibromochloropropane and pyrene considered volatile for purposes of modeling (USEPA 2004, 2008).",,,,,,,
,"Target cancer risk = 1E-06, Target Hazard Quotient = 0.2 except as noted.",,,,,,,
,"""#"": Nonchlorinated VOCs (except MTBE) adjusted upwards by factor of ten to account for assumed biodegradation in",,,,,,,
, vadose-zone prior to emission at surface.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
