TABLE D-4b. SUMMARY OF SELECTED CHRONIC AQUATIC HABITAT GOALS,,,,,,
,,,,,,
,1Aquatic Habitat Goals,,,,,
CHEMICAL PARAMETER,"1Estuarine
Aquatic Habitat Goal
(ug/L)",Basis,"Lowest Freshwater
Aquatic Habitat Goal
(ug/L)",Basis,"Lowest
Marine
Aquatic Habitat Goal
(ug/L)",Basis
ACENAPHTHENE,1.5E+01,USEPA Chronic FW,1.5E+01,USEPA Chronic FW,2.0E+01,USEPA Chronic SW
ACENAPHTHYLENE,1.3E+01,USEPA Chronic FW,1.3E+01,USEPA Chronic FW,3.1E+02,USEPA Chronic SW
ACETONE,1.5E+03,USEPA Chronic SW,1.7E+03,USEPA Chronic FW,1.5E+03,USEPA Chronic SW
ALDRIN,1.4E-04,USEPA Chronic SW,3.5E-02,USEPA Chronic FW,1.4E-04,USEPA Chronic SW
AMETRYN,7.0E+02,USEPA Off Pesticides (FW),7.0E+02,USEPA Off Pesticides,7.0E+02,USEPA Off Pesticides (FW)
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,USEPA Chronic FW,1.8E+01,USEPA Chronic FW,2.0E+01,USEPA Chronic SW
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,USEPA Reg IV (FW),1.1E+01,USEPA Chronic FW,1.1E+01,USEPA Reg IV (FW)
ANTHRACENE,2.0E-02,USEPA Chronic FW,2.0E-02,USEPA Chronic FW,7.3E-01,USEPA Chronic SW
ANTIMONY,3.0E+01,USEPA Chronic SW,1.3E+02,USEPA Chronic FW,3.0E+01,USEPA Chronic SW
ARSENIC,3.6E+01,Hawaii Chronic SW WQS,1.9E+02,Hawaii Chronic FW WQS,3.6E+01,Hawaii Chronic SW WQS
ATRAZINE,1.2E+01,USEPA Reg IV (FW),1.2E+01,USEPA Chronic FW,1.2E+01,USEPA Reg IV (FW)
BARIUM,2.2E+02,USEPA Chronic SW,2.2E+02,USEPA Chronic FW,2.2E+02,USEPA Chronic SW
BENOMYL,1.4E-01,5% USGS 2012 FW acute,1.4E-01,5% USGS 2012 acute,1.4E-01,5% USGS 2012 FW acute
BENZENE,7.1E+01,USEPA Chronic SW,1.6E+02,USEPA Chronic FW,7.1E+01,USEPA Chronic SW
BENZO(a)ANTHRACENE,2.7E-02,USEPA Chronic SW,4.7E+00,USEPA Chronic FW,2.7E-02,USEPA Chronic SW
BENZO(a)PYRENE,6.0E-02,USEPA Chronic FW,6.0E-02,USEPA Chronic FW,3.0E-01,USEPA Chronic SW
BENZO(b)FLUORANTHENE,6.8E-01,USEPA Chronic SW,2.6E+00,USEPA Chronic FW,6.8E-01,USEPA Chronic SW
"BENZO(g,h,i)PERYLENE",4.4E-01,USEPA Chronic SW,4.4E-01,USEPA Chronic FW,4.4E-01,USEPA Chronic SW
BENZO(k)FLUORANTHENE,6.4E-01,USEPA Chronic SW,6.4E-01,USEPA Chronic FW,6.4E-01,USEPA Chronic SW
BERYLLIUM,6.6E-01,USEPA Chronic SW,1.1E+01,USEPA Chronic FW,6.6E-01,USEPA Chronic SW
"BIPHENYL, 1,1-",6.5E+00,USEPA Chronic FW,6.5E+00,USEPA Chronic FW,1.4E+01,USEPA Chronic SW
BIS(2-CHLOROETHYL)ETHER,2.4E+03,USDOE Chronic (FW),2.4E+03,USDOE Chronic,2.4E+03,USDOE Chronic (FW)
BIS(2-CHLORO-1-METHYLETHYL)ETHER,3.7E-01,=Drinking Water Toxicity,3.7E-01,=Drinking Water Toxicity),3.7E-01,=Drinking Water Toxicity
BIS(2-ETHYLHEXYL)PHTHALATE,3.0E+00,USEPA Chronic SW,3.0E+00,USEPA Chronic FW,3.0E+00,USEPA Chronic SW
BORON,1.0E+03,USEPA Chronic SW,7.2E+03,USEPA Chronic FW,1.0E+03,USEPA Chronic SW
BROMODICHLOROMETHANE,3.4E+02,USEPA Reg IV (FW),3.4E+02,USEPA Chronic FW,3.4E+02,USEPA Reg IV (FW)
BROMOFORM,2.3E+02,USEPA Chronic FW,2.3E+02,USEPA Chronic FW,3.2E+02,USEPA Chronic SW
BROMOMETHANE,1.6E+01,USEPA Reg IV (FW),1.6E+01,USEPA Chronic FW,1.6E+01,USEPA Reg IV (FW)
CADMIUM,3.0E+00,Hawaii Chronic FW WQS,3.0E+00,Hawaii Chronic FW WQS,9.3E+00,Hawaii Chronic SW WQS
CARBON TETRACHLORIDE,9.8E+00,USEPA Chronic SW,7.7E+01,USEPA Chronic FW,9.8E+00,USEPA Chronic SW
CHLORDANE (TECHNICAL),4.0E-03,Hawaii Chronic SW WQS,4.3E-03,Hawaii Chronic FW WQS,4.0E-03,Hawaii Chronic SW WQS
"CHLOROANILINE, p-",1.9E+01,USEPA Reg IV (FW),1.9E+01,USEPA Chronic FW,1.9E+01,USEPA Reg IV (FW)
CHLOROBENZENE,2.5E+01,USEPA Chronic FW,2.5E+01,USEPA Chronic FW,6.4E+01,USEPA Chronic SW
CHLOROETHANE,2.1E+04,=Drinking Water Toxicity,2.1E+04,=Drinking Water Toxicity),2.1E+04,=Drinking Water Toxicity
CHLOROFORM,2.8E+01,USEPA Chronic SW,1.4E+02,USEPA Chronic FW,2.8E+01,USEPA Chronic SW
CHLOROMETHANE,1.9E+02,=Drinking Water Toxicity,1.9E+02,=Drinking Water Toxicity),1.9E+02,=Drinking Water Toxicity
"CHLOROPHENOL, 2-",3.2E+01,USEPA Chronic FW,3.2E+01,USEPA Chronic FW,4.0E+02,USEPA Chronic SW
CHROMIUM (Total),1.1E+01,Reg IV Cr VI,1.1E+01,Reg IV Cr VI,5.0E+01,Reg IV Cr VI
CHROMIUM III,2.0E+01,USEPA Chronic SW,7.4E+01,USEPA Chronic FW,2.0E+01,USEPA Chronic SW
CHROMIUM VI,1.1E+01,Hawaii Chronic FW WQS,1.1E+01,Hawaii Chronic FW WQS,5.0E+01,Hawaii Chronic SW WQS
CHRYSENE,2.0E+00,USEPA Chronic SW,4.7E+00,USEPA Chronic FW,2.0E+00,USEPA Chronic SW
COBALT,1.9E+01,USEPA Chronic FW,1.9E+01,USEPA Chronic FW,2.3E+01,USEPA Chronic SW
COPPER,2.9E+00,Hawaii Chronic SW WQS,6.0E+00,Hawaii Chronic FW WQS,2.9E+00,Hawaii Chronic SW WQS
CYANIDE (Free),1.0E+00,Hawaii Chronic SW WQS,5.2E+00,Hawaii Chronic FW WQS,1.0E+00,Hawaii Chronic SW WQS
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.9E+01,USEPA Chronic FW,7.9E+01,USEPA Chronic FW,1.9E+02,USEPA Chronic SW
DALAPON,3.0E+02, USEPA AQUIRE (5% FW LC50),3.0E+02,USEPA AQUIRE (5% FW LC50),3.0E+02, USEPA AQUIRE (5% FW LC50)
"DIBENZO(a,h)ANTHTRACENE",8.0E-01,USEPA Chronic FW,8.0E-01,USEPA Chronic FW,7.1E+00,USEPA Chronic SW
"DIBROMO,1,2- CHLOROPROPANE,3-",4.0E-02,=Drinking Water Toxicity,4.0E-02,=Drinking Water Toxicity),4.0E-02,=Drinking Water Toxicity
DIBROMOCHLOROMETHANE,3.4E+01,USEPA Chronic SW,3.2E+02,USEPA Chronic FW,3.4E+01,USEPA Chronic SW
"DIBROMOETHANE, 1,2-",1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC
"DICHLOROBENZENE, 1,2-",1.4E+01,USEPA Chronic SW,2.3E+01,USEPA Chronic FW,1.4E+01,USEPA Chronic SW
"DICHLOROBENZENE, 1,3-",2.2E+01,USEPA Chronic FW,2.2E+01,USEPA Chronic FW,7.1E+01,USEPA Chronic SW
"DICHLOROBENZENE, 1,4-",9.4E+00,USEPA Chronic FW,9.4E+00,USEPA Chronic FW,1.5E+01,USEPA Chronic SW
"DICHLOROBENZIDINE, 3,3-",4.5E+00,USEPA Reg IV (FW),4.5E+00,USEPA Chronic FW,4.5E+00,USEPA Reg IV (FW)
DICHLORODIPHENYLDICHLOROETHANE (DDD),1.1E-02,USEPA Chronic SW,1.1E-02,USEPA Chronic FW,1.1E-02,USEPA Chronic SW
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.1E-01,USEPA Reg IV (FW),4.1E-01,USEPA Chronic FW,4.1E-01,USEPA Reg IV (FW)
DICHLORODIPHENYLTRICHLOROETHANE (DDT),1.0E-03,Hawaii Chronic SW WQS,1.0E-03,Hawaii Chronic FW WQS,1.0E-03,Hawaii Chronic SW WQS
"DICHLOROETHANE, 1,1-",4.7E+01,USEPA Chronic SW,4.1E+02,USEPA Chronic FW,4.7E+01,USEPA Chronic SW
"DICHLOROETHANE, 1,2-",9.1E+02,USEPA Chronic SW,2.0E+03,USEPA Chronic FW,9.1E+02,USEPA Chronic SW
"DICHLOROETHYLENE, 1,1-",2.5E+01,USEPA Chronic SW,1.3E+02,USEPA Chronic FW,2.5E+01,USEPA Chronic SW
"DICHLOROETHYLENE, Cis 1,2-",6.2E+02,USEPA Reg IV (FW),6.2E+02,USEPA Chronic FW,6.2E+02,USEPA Reg IV (FW)
"DICHLOROETHYLENE, Trans 1,2-",5.6E+02,USEPA Reg IV (FW),5.6E+02,USEPA Chronic FW,5.6E+02,USEPA Reg IV (FW)
"DICHLOROPHENOL, 2,4-",1.1E+01,USEPA Chronic FW,1.1E+01,USEPA Chronic FW,7.9E+02,USEPA Chronic SW
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.0E+01,USEPA Chronic SW,7.9E+01,USEPA Chronic FW,7.0E+01,USEPA Chronic SW
"DICHLOROPROPANE, 1,2-",5.2E+02,USEPA Reg IV (FW),5.2E+02,USEPA Chronic FW,5.2E+02,USEPA Reg IV (FW)
"DICHLOROPROPENE, 1,3-",6.0E-02,USEPA Chronic SW,1.7E+00,USEPA Chronic FW,6.0E-02,USEPA Chronic SW
DIELDRIN,1.9E-03,Hawaii Chronic SW WQS,1.9E-03,Hawaii Chronic FW WQS,1.9E-03,Hawaii Chronic SW WQS
DIETHYLPHTHALATE,2.1E+02,USEPA Chronic SW,2.2E+02,USEPA Chronic FW,2.1E+02,USEPA Chronic SW
"DIMETHYLPHENOL, 2,4-",1.2E+02,USEPA Reg IV (FW),1.2E+02,USEPA Chronic FW,1.2E+02,USEPA Reg IV (FW)
DIMETHYLPHTHALATE,1.1E+03,USEPA Chronic FW,1.1E+03,USEPA Chronic FW,2.9E+03,USEPA Chronic SW
"DINITROBENZENE, 1,3-",1.0E+01,USEPA Chronic SW,2.2E+01,USEPA Chronic FW,1.0E+01,USEPA Chronic SW
"DINITROPHENOL, 2,4-",1.4E+01,USEPA Chronic SW,7.1E+01,USEPA Chronic FW,1.4E+01,USEPA Chronic SW
"DINITROTOLUENE, 2,4- (2,4-DNT)",9.1E+00,USEPA Chronic SW,4.4E+01,USEPA Chronic FW,9.1E+00,USEPA Chronic SW
"DINITROTOLUENE, 2,6- (2,6-DNT)",8.1E+01,USEPA Reg IV (FW),8.1E+01,USEPA Chronic FW,8.1E+01,USEPA Reg IV (FW)
"DIOXANE, 1,4-",3.4E+05,Mohr (5% Acute FW LC 50),3.4E+05,Mohr (5% Acute FW LC 50),5.0E+05,Mohr (5% Acute SW LC 50)
DIOXINS (TEQ),3.1E-09,USEPA Reg IV (FW),3.1E-09,USEPA Chronic FW,3.1E-09,USEPA Reg IV (FW)
DIURON,6.0E+01,USEPA AQUIRE (50% FW EC50),6.0E+01,USEPA AQUIRE (50% FW EC50),6.0E+01,USEPA AQUIRE (50% FW EC50)
ENDOSULFAN,8.7E-03,Hawaii Chronic SW WQS,5.6E-02,Hawaii Chronic FW WQS,8.7E-03,Hawaii Chronic SW WQS
ENDRIN,2.3E-03,Hawaii Chronic SW WQS,2.3E-03,Hawaii Chronic FW WQS,2.3E-03,Hawaii Chronic SW WQS
ETHANOL,,not available,,not available,,
ETHYLBENZENE,7.3E+00,USEPA Chronic SW,6.1E+01,USEPA Chronic FW,7.3E+00,USEPA Chronic SW
FLUORANTHENE,8.0E-01,USEPA Chronic FW,8.0E-01,USEPA Chronic FW,7.1E+00,USEPA Chronic SW
FLUORENE,3.9E+00,USEPA Chronic SW,1.9E+01,USEPA Chronic FW,3.9E+00,USEPA Chronic SW
GLYPHOSATE,1.8E+03,USEPA Off Pesticides (FW),1.8E+03,USEPA Off Pesticides,1.8E+03,USEPA Off Pesticides (FW)
HEPTACHLOR,3.6E-03,Hawaii Chronic SW WQS,3.8E-03,Hawaii Chronic FW WQS,3.6E-03,Hawaii Chronic SW WQS
HEPTACHLOR EPOXIDE,3.6E-03,USEPA Chronic SW,3.8E-03,USEPA Chronic FW,3.6E-03,USEPA Chronic SW
HEXACHLOROBENZENE,3.0E-04,USEPA Reg IV (FW),3.0E-04,USEPA Chronic FW,3.0E-04,USEPA Reg IV (FW)
HEXACHLOROBUTADIENE,3.0E-01,USEPA Chronic SW,1.0E+00,USEPA Chronic FW,3.0E-01,USEPA Chronic SW
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,6.3E-02,USEPA Chronic SW,8.0E-02,Hawaii Chronic FW WQS,6.3E-02,USEPA Chronic SW
HEXACHLOROETHANE,1.2E+01,USEPA Chronic SW,1.2E+01,USEPA Chronic FW,1.2E+01,USEPA Chronic SW
HEXAZINONE,1.7E+04,USEPA Off Pesticides (FW),1.7E+04,USEPA Off Pesticides,1.7E+04,USEPA Off Pesticides (FW)
"INDENO(1,2,3-cd)PYRENE",2.8E-01,USEPA Chronic SW,2.8E-01,USEPA Chronic FW,2.8E-01,USEPA Chronic SW
ISOPHORONE,9.2E+02,USEPA Reg IV (FW),9.2E+02,USEPA Chronic FW,9.2E+02,USEPA Reg IV (FW)
LEAD,5.6E+00,Hawaii Chronic SW WQS,2.9E+01,Hawaii Chronic FW WQS,5.6E+00,Hawaii Chronic SW WQS
MERCURY,2.5E-02,Hawaii Chronic SW WQS,5.5E-01,Hawaii Chronic FW WQS,2.5E-02,Hawaii Chronic SW WQS
METHOXYCHLOR,3.0E-02,Hawaii Chronic SW WQS,3.0E-02,Hawaii Chronic FW WQS,3.0E-02,Hawaii Chronic SW WQS
METHYL ETHYL KETONE,1.4E+04,USEPA Chronic SW,2.2E+04,USEPA Chronic FW,1.4E+04,USEPA Chronic SW
METHYL ISOBUTYL KETONE,1.7E+02,USEPA Chronic SW,1.7E+02,USEPA Chronic FW,1.7E+02,USEPA Chronic SW
METHYL MERCURY,2.8E-03,USEPA Chronic SW,2.8E-03,USEPA Chronic FW,2.8E-03,USEPA Chronic SW
METHYL TERT BUTYL ETHER,7.3E+02,USEPA Chronic FW,7.3E+02,USEPA Chronic FW,1.8E+04,USEPA Chronic SW
METHYLENE CHLORIDE,1.5E+03,USEPA Chronic FW,1.5E+03,USEPA Chronic FW,2.2E+03,USEPA Chronic SW
"METHYLNAPHTHALENE, 1-",2.1E+00,USEPA Chronic SW,2.1E+00,USEPA Chronic FW,2.1E+00,USEPA Chronic SW
"METHYLNAPHTHALENE, 2-",4.7E+00,USEPA Chronic FW,4.7E+00,USEPA Chronic FW,7.2E+01,USEPA Chronic SW
MOLYBDENUM,3.7E+02,USEPA Chronic SW,8.0E+02,USEPA Chronic FW,3.7E+02,USEPA Chronic SW
NAPHTHALENE,1.2E+01,USEPA Chronic SW,2.1E+01,USEPA Chronic FW,1.2E+01,USEPA Chronic SW
NICKEL,5.0E+00,Hawaii Chronic FW WQS,5.0E+00,Hawaii Chronic FW WQS,8.3E+00,Hawaii Chronic SW WQS
NITROBENZENE,3.8E+02,USEPA Reg IV (FW),3.8E+02,USEPA Chronic FW,3.8E+02,USEPA Reg IV (FW)
NITROGLYCERIN,1.8E+01,USEPA Reg IV (FW),1.8E+01,USEPA Chronic FW,1.8E+01,USEPA Reg IV (FW)
"NITROTOLUENE, 2-",7.1E+01,USEPA Reg IV (FW),7.1E+01,USEPA Chronic FW,7.1E+01,USEPA Reg IV (FW)
"NITROTOLUENE, 3-",4.2E+01,USEPA Reg IV (FW),4.2E+01,USEPA Chronic FW,4.2E+01,USEPA Reg IV (FW)
"NITROTOLUENE, 4-",4.6E+01,USEPA Reg IV (FW),4.6E+01,USEPA Chronic FW,4.6E+01,USEPA Reg IV (FW)
PENTACHLOROPHENOL,7.9E+00,USEPA Chronic SW,1.3E+01,Hawaii Chronic FW WQS,7.9E+00,USEPA Chronic SW
PENTAERYTHRITOLTETRANITRATE (PETN),8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW)
PERCHLORATE,6.0E+02,USEPA 2002,6.0E+02,USEPA 2002,6.0E+02,USEPA 2002
PHENANTHRENE,2.3E+00,USEPA Chronic FW,2.3E+00,USEPA Chronic FW,4.6E+00,USEPA Chronic SW
PHENOL,5.8E+01,USEPA Chronic SW,1.6E+02,USEPA Chronic FW,5.8E+01,USEPA Chronic SW
POLYCHLORINATED BIPHENYLS (PCBs),1.4E-02,Hawaii Chronic FW WQS,1.4E-02,Hawaii Chronic FW WQS,3.0E-02,Hawaii Chronic SW WQS
PROPICONAZOLE,9.5E+01,USEPA Off Pesticides (FW),9.5E+01,USEPA Off Pesticides,9.5E+01,USEPA Off Pesticides (FW)
PYRENE,4.6E+00,USEPA Chronic FW,4.6E+00,USEPA Chronic FW,1.0E+01,USEPA Chronic SW
SELENIUM,5.0E+00,Hawaii Chronic FW WQS,5.0E+00,Hawaii Chronic FW WQS,7.1E+01,Hawaii Chronic SW WQS
SILVER,1.0E-01,USEPA Chronic SW,1.0E+00,Hawaii Chronic FW WQS,1.0E-01,USEPA Chronic SW
SIMAZINE,9.0E+00,USEPA Reg IV (FW),9.0E+00,USEPA Chronic FW,9.0E+00,USEPA Reg IV (FW)
STYRENE,3.2E+01,USEPA Reg IV (FW),3.2E+01,USEPA Chronic FW,3.2E+01,USEPA Reg IV (FW)
TERBACIL,2.6E+02,=Drinking Water Toxicity,1.2E+03,USEPA Off Pesticides,2.6E+02,=Drinking Water Toxicity
tert-BUTYL ALCOHOL,1.8E+04,USEPA AQUIRE (10% FW LC0),1.8E+04,USEPA AQUIRE (10% FW LC0),1.8E+04,USEPA AQUIRE (10% FW LC0)
"TETRACHLOROETHANE, 1,1,1,2-",1.1E+01,USEPA Chronic SW,8.5E+01,USEPA Chronic FW,1.1E+01,USEPA Chronic SW
"TETRACHLOROETHANE, 1,1,2,2-",2.0E+02,USEPA Chronic FW,2.0E+02,USEPA Chronic FW,6.1E+02,USEPA Chronic SW
TETRACHLOROETHYLENE,5.3E+01,USEPA Chronic FW,5.3E+01,USEPA Chronic FW,1.5E+02,Hawaii Chronic SW WQS
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,USEPA Reg IV (FW),1.2E+00,USEPA Chronic FW,1.2E+00,USEPA Reg IV (FW)
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.2E+02,USEPA Chronic FW,2.2E+02,USEPA Chronic FW,3.3E+02,USEPA Chronic SW
THALLIUM,6.0E+00,USEPA Chronic FW,6.0E+00,USEPA Chronic FW,1.2E+01,USEPA Chronic SW
TOLUENE,9.8E+00,USEPA Chronic SW,6.2E+01,USEPA Chronic FW,9.8E+00,USEPA Chronic SW
TOXAPHENE,2.0E-04,Hawaii Chronic SW WQS,2.0E-04,Hawaii Chronic FW WQS,2.0E-04,Hawaii Chronic SW WQS
TPH (gasolines),5.0E+02,CalEPA FW Chronic,5.0E+02,CalEPA FW Chronic,3.7E+03,CalEPA Chronic (SW)
TPH (middle distillates),6.4E+02,CalEPA Chronic (FW),6.4E+02,CalEPA FW Chronic,6.4E+02,CalEPA Chronic (FW)
TPH (residual fuels),6.4E+02,CalEPA Chronic (FW),6.4E+02,CaEPA FW Chronic,6.4E+02,CalEPA Chronic (FW)
"TRICHLOROBENZENE, 1,2,4-",1.1E+02,USEPA Chronic SW,1.3E+02,USEPA Chronic FW,1.1E+02,USEPA Chronic SW
"TRICHLOROETHANE, 1,1,1-",1.1E+01,USEPA Chronic SW,7.6E+01,USEPA Chronic FW,1.1E+01,USEPA Chronic SW
"TRICHLOROETHANE, 1,1,2-",7.3E+02,USEPA Chronic FW,7.3E+02,USEPA Chronic FW,1.2E+03,USEPA Chronic SW
TRICHLOROETHYLENE,4.7E+01,USEPA Chronic SW,2.0E+02,USEPA Chronic FW,4.7E+01,USEPA Chronic SW
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,USEPA Chronic FW,1.9E+00,USEPA Chronic FW,1.2E+01,USEPA Chronic SW
"TRICHLOROPHENOL, 2,4,6-",4.9E+00,USEPA Chronic FW,4.9E+00,USEPA Chronic FW,6.5E+00,USEPA Chronic SW
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,USEPA Chronic FW,3.0E+01,USEPA Chronic FW,5.0E+01,USEPA Chronic SW
"TRICHLOROPROPANE, 1,2,3-",1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+01,USEPA AQUIRE (50% FW EC50)
"TRICHLOROPROPENE, 1,2,3-",6.2E-01,=Drinking Water Toxicity,6.2E-01,=Drinking Water Toxicity),6.2E-01,=Drinking Water Toxicity
TRIFLURALIN,1.1E+00,USEPA Reg IV (FW),1.1E+00,USEPA Chronic FW,1.1E+00,USEPA Reg IV (FW)
"TRINITROBENZENE, 1,3,5-",1.0E+01,USEPA Chronic SW,1.1E+01,USEPA Chronic FW,1.0E+01,USEPA Chronic SW
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",4.0E+01,=Drinking Water Toxicity,4.0E+01,=Drinking Water Toxicity),4.0E+01,=Drinking Water Toxicity
"TRINITROTOLUENE, 2,4,6- (TNT)",1.3E+01,USEPA Chronic FW,1.3E+01,USEPA Chronic FW,9.0E+01,USEPA Chronic SW
VANADIUM,2.7E+01,USEPA Chronic FW,2.7E+01,USEPA Chronic FW,8.1E+01,USEPA Chronic SW
VINYL CHLORIDE,9.3E+02,USEPA Reg. IV SW Chronic,9.3E+02,USEPA Chronic FW,9.3E+02,USEPA Reg. IV SW Chronic
XYLENES,1.3E+01,USEPA Chronic SW,2.7E+01,USEPA Chronic FW,1.3E+01,USEPA Chronic SW
ZINC,2.2E+01,Hawaii Chronic FW WQS,2.2E+01,Hawaii Chronic FW WQS,8.6E+01,Hawaii Chronic SW WQS
Notes:,,,,,,
1. Refer to Table D-4d and D-4e for summary of aquatic habitat goal sources.  Used for selection of groundwater action levels.,,,,,,
2. Estuarine Goal = Lowest of Freshwater vs Saltwater chronic goals.,,,,,,
3. Drinking water goal substituted as aquatic habitat goal if latter was not available (see text).,,,,,,
,,,,,,
