TABLE D-4e. SUMMARY OF USEPA AND OTHER PUBLISHED AQUATIC HABITAT GOALS,,,,,,,,,,,,,,,,
(ug/l),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Freshwater,,,,,,Marine,,,,,,,,,
CONTAMINANT,"USEPA Reg IV
Chronic","USEPA Reg IV
Acute",Other Chronic,Basis,Other Acute,Basis,"USEPA Reg IV
Chronic","USEPA Reg IV
Acute",Other Chronic,Basis,Other Acute,Basis,,,,
ACENAPHTHENE,1.5E+01,,,,3.0E+02,CCME 2002,2.0E+01,,,,3.0E+02,CCME 2002,,,,
ACENAPHTHYLENE,1.3E+01,,,,3.0E+02,CCME 2002,3.1E+02,,,,3.0E+02,CCME 2002,,,,
ACETONE,1.7E+03,1.5E+04,,,,,1.5E+03,2.8E+04,,,,,,,,
ALDRIN,3.5E-02,3.0E+00,,,,,1.4E-04,1.3E+00,,,,,,,,
AMETRYN,,,7.0E+02,USEPA Off Pesticides,1.8E+03,USEPA Off Pesticides,,,7.0E+02,USEPA Off Pesticides (FW),1.8E+03,USEPA Off Pesticides (FW),,,,
"AMINO,2- DINITROTOLUENE,4,6-",1.8E+01,1.6E+02,,,,,2.0E+01,1.8E+02,,,,,,,,
"AMINO,4- DINITROTOLUENE,2,6-",1.1E+01,9.8E+01,,,,,,,1.1E+01,USEPA Reg IV (FW),9.8E+01,USEPA Reg IV (FW),,,,
ANTHRACENE,2.0E-02,1.8E-01,,,,,7.3E-01,1.3E+01,,,3.0E+02,CCME 2002,,,,
ANTIMONY,1.3E+02,3.0E+02,,,,,3.0E+01,1.8E+02,,,,,,,,
ARSENIC,1.5E+02,3.4E+02,,,,,3.6E+01,6.9E+01,,,,,,,,
ATRAZINE,1.2E+01,3.3E+02,,,,,,,1.2E+01,USEPA Reg IV (FW),3.3E+02,USEPA Reg IV (FW),,,,
BARIUM,2.2E+02,2.0E+03,,,,,2.2E+02,2.0E+03,,,,,,,,
BENOMYL,,,1.4E-01,5% USGS 2012 acute,2.8E+00,USGS 2012,,,1.4E-01,5% USGS 2012 FW acute,2.8E+00,USGS Acute (FW),,,,
BENZENE,1.6E+02,7.0E+02,,,,,7.1E+01,,,,7.0E+02,USEPA Reg IV (FW),,,,
BENZO(a)ANTHRACENE,4.7E+00,,,,3.0E+02,CCME 2002,2.7E-02,,,,3.0E+02,CCME 2002,,,,
BENZO(a)PYRENE,6.0E-02,,,,3.0E+02,CCME 2002,3.0E-01,,,,3.0E+02,CCME 2002,,,,
BENZO(b)FLUORANTHENE,2.6E+00,,,,3.0E+02,CCME 2002,6.8E-01,,,,3.0E+02,CCME 2002,,,,
"BENZO(g,h,i)PERYLENE",4.4E-01,,,,3.0E+02,CCME 2002,4.4E-01,,,,3.0E+02,CCME 2002,,,,
BENZO(k)FLUORANTHENE,6.4E-01,,,,3.0E+02,CCME 2002,6.4E-01,,,,3.0E+02,CCME 2002,,,,
BERYLLIUM,1.1E+01,9.3E+01,,,,,6.6E-01,3.5E+01,,,,,,,,
"BIPHENYL, 1,1-",6.5E+00,2.6E+01,,,,,1.4E+01,,,,2.6E+01,USEPA Reg IV (FW),,,,
BIS(2-CHLOROETHYL)ETHER,,,2.4E+03,USDOE Chronic,2.4E+04,USDOE Acute,,,2.4E+03,USDOE Chronic (FW),2.4E+04,USDOE Acute (FW),,,,
BIS(2-CHLORO-1-METHYLETHYL)ETHER,,,,,,,,,,,,,,,,
BIS(2-ETHYLHEXYL)PHTHALATE,3.0E+00,2.7E+01,,,,,3.0E+00,2.7E+01,,,,,,,,
BORON,7.2E+03,3.4E+04,,,,,1.0E+03,,,,3.4E+04,USEPA Reg IV (FW),,,,
BROMODICHLOROMETHANE,3.4E+02,3.1E+03,,,,,,,3.4E+02,USEPA Reg IV (FW),3.1E+03,USEPA Reg IV (FW),,,,
BROMOFORM,2.3E+02,1.1E+03,,,,,3.2E+02,2.3E+03,,,,,,,,
BROMOMETHANE,1.6E+01,3.8E+01,,,,,,,1.6E+01,USEPA Reg IV (FW),3.8E+01,USEPA Reg IV (FW),,,,
CADMIUM,2.5E-01,2.0E+00,,,,,8.8E+00,4.0E+01,,,,,,,,
CARBON TETRACHLORIDE,7.7E+01,6.9E+02,,,,,9.8E+00,1.8E+02,,,,,,,,
CHLORDANE (TECHNICAL),4.3E-03,2.4E+00,,,,,5.9E-04,4.0E-03,,,,,,,,
"CHLOROANILINE, p-",1.9E+01,4.6E+02,,,,,,,1.9E+01,USEPA Reg IV (FW),4.6E+02,USEPA Reg IV (FW),,,,
CHLOROBENZENE,2.5E+01,2.2E+02,,,,,6.4E+01,1.1E+03,,,,,,,,
CHLOROETHANE,,,,,,,,,,,,,,,,
CHLOROFORM,1.4E+02,1.3E+03,,,,,2.8E+01,4.9E+02,,,,,,,,
CHLOROMETHANE,,,,,,,,,,,,,,,,
"CHLOROPHENOL, 2-",3.2E+01,2.9E+02,,,,,4.0E+02,,,,4.0E+02,USEPA Reg IV (SW chronic),,,,
CHROMIUM (Total),,,1.1E+01,Reg IV Cr VI,1.6E+01,Reg IV Cr VI,,,5.0E+01,Reg IV Cr VI,1.0E+03,Reg IV Cr VI,,,,
CHROMIUM III,7.4E+01,5.7E+02,,,,,2.0E+01,,,,5.7E+02,USEPA Reg IV (FW),,,,
CHROMIUM VI,1.1E+01,1.6E+01,,,,,5.0E+01,1.1E+03,,,,,,,,
CHRYSENE,4.7E+00,,,,3.0E+02,CCME 2002,2.0E+00,,,,3.0E+02,CCME 2002,,,,
COBALT,1.9E+01,1.2E+02,,,,,2.3E+01,1.5E+03,,,,,,,,
COPPER,9.0E+00,1.3E+01,,,,,3.1E+00,4.8E+00,,,,,,,,
CYANIDE (Free),5.2E+00,2.2E+01,,,,,1.0E+00,1.0E+00,,,,,,,,
"CYCLO-1,3,5-TRIMETHYLENE-2,4,6-TRINITRAMINE (RDX)",7.9E+01,5.2E+02,,,,,1.9E+02,7.0E+02,,,,,,,,
DALAPON,,,3.0E+02,USEPA AQUIRE (5% FW LC50),3.0E+03, USEPA AQUIRE (50% FW LC50),,,3.0E+02, USEPA AQUIRE (5% FW LC50),3.0E+03, USEPA AQUIRE (50% FW LC50),,,,
"DIBENZO(a,h)ANTHTRACENE",8.0E-01,,,\,3.0E+02,CCME 2002,7.1E+00,,,,3.0E+02,CCME 2002,,,,
"DIBROMO-3-CHLOROPROPANE, 1,2-",,,,,,,,,,,,,,,,
DIBROMOCHLOROMETHANE,3.2E+02,2.9E+03,,,,,3.4E+01,,,,2.9E+03,USEPA Reg IV (FW),,,,
"DIBROMOETHANE, 1,2-",,,1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC,,,1.4E+03,50% MOEE FW Chronic AWQC,1.4E+03,50% MOEE FW Chronic AWQC,,,,
"DICHLOROBENZENE, 1,2-",2.3E+01,1.3E+02,,,,,1.4E+01,2.6E+02,,,,,,,,
"DICHLOROBENZENE, 1,3-",2.2E+01,7.9E+01,,,,,7.1E+01,6.3E+02,,,,,,,,
"DICHLOROBENZENE, 1,4-",9.4E+00,5.7E+01,,,,,1.5E+01,1.8E+02,,,,,,,,
"DICHLOROBENZIDINE, 3,3-",4.5E+00,4.1E+01,,,,,,,4.5E+00,USEPA Reg IV (FW),4.1E+01,USEPA Reg IV (FW),,,,
DICHLORODIPHENYLDICHLOROETHANE (DDD),1.1E-02,1.9E-01,,,,,1.1E-02,1.9E-01,,,,,,,,
DICHLORODIPHENYLDICHLOROETHYLENE (DDE),4.1E-01,7.0E+00,,,,,,,4.1E-01,USEPA Reg IV (FW),7.0E+00,USEPA Reg IV (FW),,,,
DICHLORODIPHENYLTRICHLOROETHANE (DDT),3.2E-03,1.1E+00,,,,,1.0E-03,1.3E-01,,,,,,,,
"DICHLOROETHANE, 1,1-",4.1E+02,3.7E+03,,,,,4.7E+01,8.3E+02,,,,,,,,
"DICHLOROETHANE, 1,2-",2.0E+03,8.2E+03,,,,,9.1E+02,8.8E+03,,,,,,,,
"DICHLOROETHYLENE, 1,1-",1.3E+02,1.2E+03,,,,,2.5E+01,4.5E+02,,,,,,,,
"DICHLOROETHYLENE, Cis 1,2-",6.2E+02,5.5E+03,,,,,,,6.2E+02,USEPA Reg IV (FW),5.5E+03,USEPA Reg IV (FW),,,,
"DICHLOROETHYLENE, Trans 1,2-",5.6E+02,1.0E+04,,,,,,,5.6E+02,USEPA Reg IV (FW),1.0E+04,USEPA Reg IV (FW),,,,
"DICHLOROPHENOL, 2,4-",1.1E+01,1.1E+02,,,,,7.9E+02,,,,7.9E+02,USEPA Reg IV (SW chronic),,,,
"DICHLOROPHENOXYACETIC ACID (2,4-D)",7.9E+01,1.3E+02,,,,,7.0E+01,,,,1.3E+02,USEPA Reg IV (FW),,,,
"DICHLOROPROPANE, 1,2-",5.2E+02,3.3E+03,,,,,,3.4E+03,5.2E+02,USEPA Reg IV (FW),,,,,,
"DICHLOROPROPENE, 1,3-",1.7E+00,1.5E+01,,,,,6.0E-02,9.9E-01,,,,,,,,
DIELDRIN,5.6E-02,2.4E-01,,,,,1.9E-03,7.1E-01,,,,,,,,
DIETHYLPHTHALATE,2.2E+02,9.8E+02,,,,,2.1E+02,1.8E+03,,,,,,,,
"DIMETHYLPHENOL, 2,4-",1.2E+02,1.1E+03,,,,,,,1.2E+02,USEPA Reg IV (FW),1.1E+03,USEPA Reg IV (FW),,,,
DIMETHYLPHTHALATE,1.1E+03,3.2E+03,,,,,2.9E+03,,,,3.2E+03,USEPA Reg IV (FW),,,,
"DINITROBENZENE, 1,3-",2.2E+01,1.0E+02,,,,,1.0E+01,1.1E+02,,,,USEPA Reg IV (FW),,,,
"DINITROPHENOL, 2,4-",7.1E+01,3.8E+02,,,,,1.4E+01,,,,3.8E+02,,,,,
"DINITROTOLUENE, 2,4- (2,4-DNT)",4.4E+01,3.9E+02,,,,,9.1E+00,2.0E+02,,,,,,,,
"DINITROTOLUENE, 2,6- (2,6-DNT)",8.1E+01,7.3E+02,,,,,,2.0E+02,8.1E+01,USEPA Reg IV (FW),,,,,,
"DIOXANE, 1,4-",,,3.4E+05,Mohr (5% Acute FW LC 50),3.4E+06,Mohr (50% FW LC50),,,5.0E+05,Mohr (5% Acute SW LC 50),5.0E+06,Mohr (50% SW LC50),,,,
DIOXINS (TEQ),3.1E-09,3.0E-03,,,,,,,3.1E-09,USEPA Reg IV (FW),3.0E-03,USEPA Reg IV (FW),,,,
DIURON,,,6.0E+01,USEPA AQUIRE (50% FW EC50),2.0E+02,USEPA AQUIRE (50% FW LC50),,,6.0E+01,USEPA AQUIRE (50% FW EC50),5.5E+02,USEPA AQUIRE (50% SW LC50),,,,
ENDOSULFAN,1.0E-02,1.1E-01,,,,,8.7E-03,3.4E-02,,,,,,,,
ENDRIN,3.6E-02,8.6E-02,,,,,2.3E-03,3.7E-02,,,,,,,,
ETHANOL,,,,,,,,,,,,,,,,
ETHYLBENZENE,6.1E+01,5.5E+02,,,,,7.3E+00,1.3E+02,,,,,,,,
FLUORANTHENE,8.0E-01,,,,3.0E+02,CCME 2002,7.1E+00,,,,3.0E+02,CCME 2002,,,,
FLUORENE,1.9E+01,,,,3.0E+02,CCME 2002,3.9E+00,,,,3.0E+02,CCME 2002,,,,
GLYPHOSATE,,,1.8E+03,USEPA Off Pesticides,2.2E+04,USEPA Off Pesticides,,,1.8E+03,USEPA Off Pesticides (FW),2.2E+04,USEPA Off Pesticides (FW),,,,
HEPTACHLOR,3.8E-03,5.2E-01,,,,,3.6E-03,5.3E-02,,,,,,,,
HEPTACHLOR EPOXIDE,3.8E-03,5.2E-01,,,,,3.6E-03,5.3E-02,,,,,,,,
HEXACHLOROBENZENE,3.0E-04,,,,3.0E-04,USEPA Reg IV (FW chronic),,,3.0E-04,USEPA Reg IV (FW),3.0E-04,USEPA Reg IV (FW chronic),,,,
HEXACHLOROBUTADIENE,1.0E+00,1.0E+01,,,,,3.0E-01,3.0E+00,,,,,,,,
HEXACHLOROCYCLOHEXANE (gamma) LINDANE,1.1E-01,9.5E-01,,,,,6.3E-02,1.6E-01,,,,,,,,
HEXACHLOROETHANE,1.2E+01,2.1E+02,,,,,1.2E+01,2.1E+02,,,,,,,,
HEXAZINONE,,,1.7E+04,USEPA Off Pesticides,1.4E+05,USEPA Off Pesticides,,,1.7E+04,USEPA Off Pesticides (FW),1.4E+05,USEPA Off Pesticides (FW),,,,
"INDENO(1,2,3-cd)PYRENE",2.8E-01,,,,3.0E+02,CCME 2002,2.8E-01,,,,3.0E+02,CCME 2002,,,,
ISOPHORONE,9.2E+02,7.5E+03,,,,,,,9.2E+02,USEPA Reg IV (FW),7.5E+03,USEPA Reg IV (FW),,,,
LEAD,2.5E+00,6.5E+01,,,,,8.1E+00,2.1E+02,,,,,,,,
MERCURY,7.7E-01,1.4E+00,,,,,9.4E-01,1.8E+00,,,,,,,,
METHOXYCHLOR,3.0E-02,7.0E-01,,,,,1.9E-02,,,,7.0E-01,USEPA Reg IV (FW),,,,
METHYL ETHYL KETONE,2.2E+04,2.0E+05,,,,,1.4E+04,2.4E+05,,,,,,,,
METHYL ISOBUTYL KETONE,1.7E+02,2.2E+03,,,,,1.7E+02,2.2E+03,,,,,,,,
METHYL MERCURY,2.8E-03,9.9E-02,,,,,2.8E-03,9.9E-02,,,,,,,,
METHYL TERT BUTYL ETHER,7.3E+02,6.5E+03,,,,,1.8E+04,5.3E+04,,,,,,,,
METHYLENE CHLORIDE,1.5E+03,8.5E+03,,,,,2.2E+03,2.6E+04,,,,,,,,
"METHYLNAPHTHALENE, 1-",2.1E+00,3.7E+01,,,,,2.1E+00,3.7E+01,,,,,,,,
"METHYLNAPHTHALENE, 2-",4.7E+00,4.2E+01,,,,,7.2E+01,8.6E+01,,,,,,,,
MOLYBDENUM,8.0E+02,7.2E+03,,,,,3.7E+02,1.6E+04,,,,,,,,
NAPHTHALENE,2.1E+01,1.7E+02,,,,,1.2E+01,1.9E+02,,,,,,,,
NICKEL,5.2E+01,4.7E+02,,,,,8.2E+00,7.4E+01,,,,,,,,
NITROBENZENE,3.8E+02,2.0E+03,,,,,,2.0E+03,3.8E+02,USEPA Reg IV (FW),,,,,,
NITROGLYCERIN,1.8E+01,1.6E+02,,,,,,,1.8E+01,USEPA Reg IV (FW),1.6E+02,USEPA Reg IV (FW),,,,
"NITROTOLUENE, 2-",7.1E+01,6.4E+02,,,,,,,7.1E+01,USEPA Reg IV (FW),6.4E+02,USEPA Reg IV (FW),,,,
"NITROTOLUENE, 3-",4.2E+01,3.8E+02,,,,,,,4.2E+01,USEPA Reg IV (FW),3.8E+02,USEPA Reg IV (FW),,,,
"NITROTOLUENE, 4-",4.6E+01,4.1E+02,,,,,,,4.6E+01,USEPA Reg IV (FW),4.1E+02,USEPA Reg IV (FW),,,,
PENTACHLOROPHENOL,1.5E+01,1.9E+01,,,,,7.9E+00,1.3E+01,,,,,,,,
PENTAERYTHRITOLTETRANITRATE (PETN),,,8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW),,,8.5E+05,Pascoe et al. (chronic FW),8.5E+05,Pascoe et al. (chronic FW),,,,
PERCHLORATE,,,6.0E+02,USEPA 2002,5.0E+03,USEPA 2002,,,6.0E+02,USEPA 2002,5.0E+03,USEPA 2002,,,,
PHENANTHRENE,2.3E+00,,,,3.0E+02,CCME 2002,4.6E+00,,,,3.0E+02,CCME 2002,,,,
PHENOL,1.6E+02,4.7E+03,,,,,5.8E+01,3.0E+02,,,,,,,,
POLYCHLORINATED BIPHENYLS (PCBs),7.4E-05,1.4E-02,,,,,,,7.4E-05,USEPA Reg IV (FW),1.4E-02,USEPA Reg IV (FW),,,,
PROPICONAZOLE,,,9.5E+01,USEPA Off Pesticides,4.3E+02,USEPA Off Pesticides,,,9.5E+01,USEPA Off Pesticides (FW),4.3E+02,USEPA Off Pesticides (FW),,,,
PYRENE,4.6E+00,,,,3.0E+02,CCME 2002,1.0E+01,,,,3.0E+02,CCME 2002,,,,
SELENIUM,5.0E+00,2.0E+01,,,,,7.1E+01,2.9E+02,,,,,,,,
SILVER,6.0E-02,3.2E+00,,,,,1.0E-01,1.9E+00,,,,,,,,
SIMAZINE,9.0E+00,8.0E+01,,,,,,,9.0E+00,USEPA Reg IV (FW),8.0E+01,USEPA Reg IV (FW),,,,
STYRENE,3.2E+01,2.9E+02,,,,,,,3.2E+01,USEPA Reg IV (FW),2.9E+02,USEPA Reg IV (FW),,,,
TERBACIL,,,1.2E+03,USEPA Off Pesticides,2.3E+04,USEPA Off Pesticides,,,,,,,,,,
tert-BUTYL ALCOHOL,,,1.8E+04,USEPA AQUIRE (10% FW LC0),1.8E+05,USEPA AQUIRE (FW LC0),,,1.8E+04,USEPA AQUIRE (10% FW LC0),1.8E+05,USEPA AQUIRE (FW LC0),,,,
"TETRACHLOROETHANE, 1,1,1,2-",8.5E+01,7.7E+02,,,,,1.1E+01,,,,7.7E+02,USEPA Reg IV (FW),,,,
"TETRACHLOROETHANE, 1,1,2,2-",2.0E+02,9.1E+02,,,,,6.1E+02,2.1E+03,,,,,,,,
TETRACHLOROETHYLENE,5.3E+01,4.3E+02,,,,,9.8E+01,8.3E+02,,,,,,,,
"TETRACHLOROPHENOL, 2,3,4,6-",1.2E+00,1.1E+01,,,,,,,1.2E+00,USEPA Reg IV (FW),1.1E+01,USEPA Reg IV (FW),,,,
"TETRANITRO-1,3,5,7-TETRAAZOCYCLOOCTANE (HMX)",2.2E+02,1.2E+03,,,,,3.3E+02,1.9E+03,,,,,,,,
THALLIUM,6.0E+00,5.4E+01,,,,,1.2E+01,1.1E+02,,,,,,,,
TOLUENE,6.2E+01,5.6E+02,,,,,9.8E+00,1.2E+02,,,,,,,,
TOXAPHENE,2.0E-04,7.3E-01,,,,,2.0E-04,2.1E-01,,,,,,,,
TPH (gasolines),,,5.0E+02,CalEPA FW Chronic,5.0E+03,Ceiling Level,,,3.7E+03,CalEPA Chronic (SW),5.0E+03,Ceiling Level,,,,
TPH (middle distillates),,,6.4E+02,CalEPA FW Chronic,2.5E+03,Ceiling Level,,,6.4E+02,CalEPA Chronic (FW),2.5E+03,Ceiling Level,,,,
TPH (residual fuels),,,6.4E+02,CaEPA FW Chronic,2.5E+03,Ceiling Level,,,6.4E+02,CalEPA Chronic (FW),2.5E+03,Ceiling Level,,,,
"TRICHLOROBENZENE, 1,2,4-",1.3E+02,4.2E+02,,,,,1.1E+02,7.0E+02,,,,,,,,
"TRICHLOROETHANE, 1,1,1-",7.6E+01,6.9E+02,,,,,1.1E+01,2.0E+02,,,,,,,,
"TRICHLOROETHANE, 1,1,2-",7.3E+02,3.2E+03,,,,,1.2E+03,5.2E+03,,,,,,,,
TRICHLOROETHYLENE,2.0E+02,2.0E+03,,,,,4.7E+01,4.4E+02,,,,,,,,
"TRICHLOROPHENOL, 2,4,5-",1.9E+00,1.7E+01,,,,,1.2E+01,2.6E+02,,,,,,,,
"TRICHLOROPHENOL, 2,4,6-",4.9E+00,3.9E+01,,,,,6.5E+00,,,,3.9E+01,USEPA Reg IV (FW),,,,
"TRICHLOROPHENOXYACETIC ACID, 2,4,5- (2,4,5-T)",,,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,,,6.9E+02,USEPA Reg. V FW Chronic,6.9E+02,USEPA Reg. V FW Chronic,,,,
"TRICHLOROPHENOXYPROPIONIC ACID, 2,4,5- (2,4,5-TP)",3.0E+01,2.7E+02,,,,,5.0E+01,,,,2.7E+02,USEPA Reg IV (FW),,,,
"TRICHLOROPROPANE, 1,2,3-",,,1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50),,,1.4E+01,USEPA AQUIRE (50% FW EC50),1.4E+02,USEPA AQUIRE (5xFW EC50),,,,
"TRICHLOROPROPENE, 1,2,3-",,,,,,,,,,,,,,,,
TRIFLURALIN,1.1E+00,2.1E+01,,,,,,,1.1E+00,USEPA Reg IV (FW),2.1E+01,USEPA Reg IV (FW),,,,
"TRINITROBENZENE, 1,3,5-",1.1E+01,2.7E+01,,,,,1.0E+01,3.0E+01,,,,,,,,
"TRINITROPHENYLMETHYLNITRAMINE, 2,4,6- (TETRYL)",,,,,,,,,,,,,,,,
"TRINITROTOLUENE, 2,4,6- (TNT)",1.3E+01,2.1E+02,,,,,9.0E+01,5.7E+02,,,,,,,,
VANADIUM,2.7E+01,1.2E+02,,,,,8.1E+01,9.0E+01,,,,,,,,
VINYL CHLORIDE,9.3E+02,8.4E+03,,,,,,,9.3E+02,USEPA Reg. IV SW Chronic,8.4E+03,USEPA Reg IV SW Acute,,,,
XYLENES,2.7E+01,2.4E+02,,,,,1.3E+01,2.3E+02,1.0E+02,5% Acute SW LC 50,1.0E+03,50% SW LC50,,,,
ZINC,1.2E+02,1.2E+02,,,,,8.1E+01,9.0E+01,,,,,,,,
References:,,,,,,,,,,,,,,,,
"Primary sources USEPA Region IV (2015) and USEPA Office of Pesticides Aquatic Life Benchmarks database (USEPA 2016b; accessed July 2016). See also USDOE (1997), MOEE (1996), USEPA (2002), USEPA Reg 5 (2003), Pascoe et al. (2010). USEPA AQUIRE ecotox database refered to for pesticides that lacked published, aquatic toxicity screening levels (USEPA 2008b).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
Used for development of groundwater and soil action levels.,,,,,,,,,,,,,,,,
See text for prioritization and selection of surface water quality action levels.,,,,,,,,,,,,,,,,
Red: Screening level based on bioaccumulation.,,,,,,,,,,,,,,,,
"1,4 Dioxane: LC 50 values for presented in ""Solvent Stabilizers  White Paper"" (Mohr 2001).",,,,,,,,,,,,,,,,
"Perchlorate: Chronic and acute goals from ""Perchlorate Environmental Contamination"" (USEPA 2002).",,,,,,,,,,,,,,,,
tert Buytl Alcohol (TBA): Chronic aquatic goal based on in-house review of USEPA ECOTOX database for TBA (USEPA 2008b).  Ten percent of LC0 concentration for Lepomis macrochirus (Bluegill) selected as most conservative goal of data presented.,,,,,,,,,,,,,,,,
AWQC: Aquatic Water Quality Criteria,,,,,,,,,,,,,,,,
EC50: 50% Effects Concentration,,,,,,,,,,,,,,,,
LC0: 0% Lethal Concentration,,,,,,,,,,,,,,,,
LC50: 50% Lethal Concentration,,,,,,,,,,,,,,,,
FW: Freshwater,,,,,,,,,,,,,,,,
SW: Saltwater,,,,,,,,,,,,,,,,
TPH Total Petroleum Hydrocarbons.  See text for discussion of different TPH categories.,,,,,,,,,,,,,,,,
USDOE: US Dept of Energy (Oak Ridge National Laboratories),,,,,,,,,,,,,,,,
USDOE: US Dept of Energy (Oak Ridge National Laboratories),,,,,,,,,,,,,,,,
USEPA: U.S. Environmental Protection Agency,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
